style_level,style_name_zh,classification_reason,domain,collection_category,arxiv_id,published,updated,primary_category,paper_title,abstract_url,pdf_url,figure,page,caption,file,sha256,classified_file
1,纯线条与基本图形,以框、箭头、文字与几何模块为主体，具象图形占比低。,Agent Skill,tool-use-generation,2510.04550v2,2025-10-06,2025-10-11,cs.AI,TRAJECT-Bench:A Trajectory-Aware Benchmark for Evaluating Agentic Tool Use,https://arxiv.org/abs/2510.04550v2,https://arxiv.org/pdf/2510.04550v2,Figure 1,4,Figure 1: An illustration of data in TRAJECT-Bench. The left side demonstrates the parallel query where,tool-use-generation/11_2510.04550_traject-bench-a-trajectory-aware-bench_fig-1.png,2036a823fe30269e1bace6fd152cb495368a4db69a569f60e04cb29182d03889,style-classification/level-1-line-and-basic-shapes/tool-use-generation__11_2510.04550_traject-bench-a-trajectory-aware-bench_fig-1.png
1,纯线条与基本图形,以框、箭头、文字与几何模块为主体，具象图形占比低。,Agent Skill,tool-use-generation,2406.05804v6,2024-06-09,2024-11-30,cs.AI,"A Review of Prominent Paradigms for LLM-Based Agents: Tool Use (Including RAG), Planning, and Feedback Learning",https://arxiv.org/abs/2406.05804v6,https://arxiv.org/pdf/2406.05804v6,Figure 1,2,"Figure 1: Common workflows based on three LLM-Profiled Roles (LMPRs): Policy, Evaluator and Dynamic Model. Numbers in circles indicate the sequence of execution for each step. Unnumbered lines represent iterative steps. Tool-use steps autonomously determined by LMPRs are marked by dashed lines. Circles labeled “-1” in the circles indicate the final step. The ‘Tool Invocation‘ and ‘Search Tree/Graph‘ text boxes indicate that these processes/objects are maintained in agent programs.",tool-use-generation/12_2406.05804_a-review-of-prominent-paradigms-for-ll_fig-1.png,cc1562b3740211a3f91c826d27e5bcac12d5da58dbedfcdbd14454c168185925,style-classification/level-1-line-and-basic-shapes/tool-use-generation__12_2406.05804_a-review-of-prominent-paradigms-for-ll_fig-1.png
2,图标或轻量卡通点缀,基础流程图中加入少量机器人、人物、网络、场景或功能图标。,Agent Skill,composition-planning,2603.24709v2,2026-03-25,2026-04-06,cs.LG,Training LLMs for Multi-Step Tool Orchestration with Constrained Data Synthesis and Graduated Rewards,https://arxiv.org/abs/2603.24709v2,https://arxiv.org/pdf/2603.24709v2,Figure 1,2,"Figure 1: Framework overview using hotel booking as a running example. Phase 1: Collect real API responses and curate workflow templates with dependency structures. Phase 2: Sample cache entries following dependencies, then generate queries matching sampled parameters. Phase 3: LLM interacts with the deterministic environment through multi-turn rollouts, receiving graduated rewards (R atomic + R orch ) for GRPO updates.",composition-planning/01_2603.24709_training-llms-for-multi-step-tool-orch_fig-1.png,2fe42df070ce122adfcd928a47a2887468e777541f17fae3de2a489c725b8e10,style-classification/level-2-icons-and-light-cartoon/composition-planning__01_2603.24709_training-llms-for-multi-step-tool-orch_fig-1.png
2,图标或轻量卡通点缀,基础流程图中加入少量机器人、人物、网络、场景或功能图标。,Agent Skill,composition-planning,2510.07978v3,2025-10-09,2026-02-13,cs.AI,VoiceAgentBench: Are Voice Assistants ready for agentic tasks?,https://arxiv.org/abs/2510.07978v3,https://arxiv.org/pdf/2510.07978v3,Figure 1,2,"Figure 1: Overview of agentic task categories in VoiceAgentBench. We present representative examples of tool-interaction scenarios covered in the benchmark, including single tool invocation, single tool invocation with retrieval, parallel tool invocation, sequentially dependent tool calls, multi-turn dialogue tool use, and safety evaluation. Examples span both English as well as culturally grounded Indic languages (e.g., Hindi and Marathi). Additional qualitative examples across all task categories are provided in Appendix L.",composition-planning/04_2510.07978_voiceagentbench-are-voice-assistants-r_fig-1.png,8110a9d4f0ee5c589f8fdb5e1021326a04cd3981208f31c3ddee7d2e831b6269,style-classification/level-2-icons-and-light-cartoon/composition-planning__04_2510.07978_voiceagentbench-are-voice-assistants-r_fig-1.png
2,图标或轻量卡通点缀,基础流程图中加入少量机器人、人物、网络、场景或功能图标。,Agent Skill,composition-planning,2510.07978v3,2025-10-09,2026-02-13,cs.AI,VoiceAgentBench: Are Voice Assistants ready for agentic tasks?,https://arxiv.org/abs/2510.07978v3,https://arxiv.org/pdf/2510.07978v3,Figure 2,4,"Figure 2: Data construction pipeline for VoiceAgentBench. We source seed tools and dialogues from existing benchmarks and custom agents. The English subset includes original queries (1a) and Indian-context variants generated conditioned on tool schemas (1b). These are translated into six Indic languages to form the Multilingual subset (2). All queries are filtered and converted to speech using diversity sampling, then paired with validated ground-truth tool calls and model instructions.",composition-planning/05_2510.07978_voiceagentbench-are-voice-assistants-r_fig-2.png,e08b978dd1e86b9b53929d01bee2ef02ebe169493837e2b50392325165e28046,style-classification/level-2-icons-and-light-cartoon/composition-planning__05_2510.07978_voiceagentbench-are-voice-assistants-r_fig-2.png
2,图标或轻量卡通点缀,基础流程图中加入少量机器人、人物、网络、场景或功能图标。,Agent Skill,composition-planning,2607.02345v1,2026-07-02,2026-07-02,cs.SE,SkillFuzz: Fuzzing Skill Composition for Implicit Intents Discovery in Open Skill Marketplaces,https://arxiv.org/abs/2607.02345v1,https://arxiv.org/pdf/2607.02345v1,Figure 2,5,"Fig. 2: S KILL F UZZ workflow: Step 1 extracts structured skill contracts and constructs a conflict-prioritized seed set; Step 2 searches the skill co-activation space via differential activation search with limited budget, using plan drift as a differential oracle to surface implicit intents without execution.",composition-planning/07_2607.02345_skillfuzz-fuzzing-skill-composition-fo_fig-2.png,c70c61b5f54d26bbf712ff2dcc4d51435f42b4ed76033f6987f009ab7472b545,style-classification/level-2-icons-and-light-cartoon/composition-planning__07_2607.02345_skillfuzz-fuzzing-skill-composition-fo_fig-2.png
2,图标或轻量卡通点缀,基础流程图中加入少量机器人、人物、网络、场景或功能图标。,Agent Skill,composition-planning,2509.17197v2,2025-09-21,2025-10-30,cs.LG,SignalLLM: A General-Purpose LLM Agent Framework for Automated Signal Processing,https://arxiv.org/abs/2509.17197v2,https://arxiv.org/pdf/2509.17197v2,Figure 4,5,Fig. 4: The illustration of the proposed Tailored LLM-Assisted SP Reasoning Module and its three operational modes. (1) Prompt engineering to do SP tasks: Employs direct task execution through sophisticated prompt design. (2) Code generation to solve the SP tasks: Generates and refines Python or Matlab code via planning and self-reflection. (3) Cross-Modal Reasoning for SP Tasks: Integrates code-generated data with visual representations to solve complex multimodal tasks.,composition-planning/10_2509.17197_signalllm-a-general-purpose-llm-agent-_fig-4.png,ba335c2a35e39286c11d011dd146fd931b2e472c07120dff5e7d9014f2374a78,style-classification/level-2-icons-and-light-cartoon/composition-planning__10_2509.17197_signalllm-a-general-purpose-llm-agent-_fig-4.png
2,图标或轻量卡通点缀,基础流程图中加入少量机器人、人物、网络、场景或功能图标。,Agent Skill,skill-acquisition,2606.03841v1,2026-06-02,2026-06-02,cs.AI,EvoDS: Self-Evolving Autonomous Data Science Agent with Skill Learning and Context Management,https://arxiv.org/abs/2606.03841v1,https://arxiv.org/pdf/2606.03841v1,Figure 1,4,"Figure 1: Overview of EvoDS. (a) EvoDS adopts a hierarchical multi-agent architecture with autonomous skill acquisition and adaptive context compression for data science tasks. (b) The agent is trained via SFT and agentic RL to jointly optimize task execution, skill acquisition, and context management.",skill-acquisition/01_2606.03841_evods-self-evolving-autonomous-data-sc_fig-1.png,f9439519805f90d7834adf11e8d1a80a87b7017a26e61e40f527fee992d52cb1,style-classification/level-2-icons-and-light-cartoon/skill-acquisition__01_2606.03841_evods-self-evolving-autonomous-data-sc_fig-1.png
2,图标或轻量卡通点缀,基础流程图中加入少量机器人、人物、网络、场景或功能图标。,Agent Skill,skill-acquisition,2402.16354v2,2024-02-26,2024-05-27,cs.LG,Language-guided Skill Learning with Temporal Variational Inference,https://arxiv.org/abs/2402.16354v2,https://arxiv.org/pdf/2402.16354v2,Figure 2,2,"Figure 2. Overall framework of LAST. Step 1: given a dataset of expert demonstrations, we query an LLM (only using the goal and actions as input) for an initial segmentation and a language description for each segment. Step 2: temporal variational inference takes in multi-modal data as input to improve upon the segmentation by merging different subsequences into skills. Step 3: online hierarchical RL on new tasks leveraging the learned skills which can greatly shorten the task horizon and help the agent efficiently learn on new tasks.",skill-acquisition/03_2402.16354_language-guided-skill-learning-with-te_fig-2.png,14c3f7637b80e7116b72066edc184b433e6f319ca902300426e1ed58b102da04,style-classification/level-2-icons-and-light-cartoon/skill-acquisition__03_2402.16354_language-guided-skill-learning-with-te_fig-2.png
2,图标或轻量卡通点缀,基础流程图中加入少量机器人、人物、网络、场景或功能图标。,Agent Skill,skill-acquisition,2605.05413v1,2026-05-06,2026-05-06,cs.AI,From History to State: Constant-Context Skill Learning for LLM Agents,https://arxiv.org/abs/2605.05413v1,https://arxiv.org/pdf/2605.05413v1,Figure 1,4,Figure 1: Context-to-weights skill learning pipeline.,skill-acquisition/07_2605.05413_from-history-to-state-constant-context_fig-1.png,fc400cafc9597599d4b837e43d652aa96ff36be8cab31e2e3928694789404a2a,style-classification/level-2-icons-and-light-cartoon/skill-acquisition__07_2605.05413_from-history-to-state-constant-context_fig-1.png
2,图标或轻量卡通点缀,基础流程图中加入少量机器人、人物、网络、场景或功能图标。,Agent Skill,skill-acquisition,2309.01352v1,2023-09-04,2023-09-04,cs.CL,Self-driven Grounding: Large Language Model Agents with Automatical Language-aligned Skill Learning,https://arxiv.org/abs/2309.01352v1,https://arxiv.org/pdf/2309.01352v1,Figure 1,3,Figure 1: A general framework of LLM-based agents,skill-acquisition/09_2309.01352_self-driven-grounding-large-language-m_fig-1.png,5b038b7d015758428bc67a69cb8d85e99db1175b86b336f537803a32430a17fe,style-classification/level-2-icons-and-light-cartoon/skill-acquisition__09_2309.01352_self-driven-grounding-large-language-m_fig-1.png
2,图标或轻量卡通点缀,基础流程图中加入少量机器人、人物、网络、场景或功能图标。,Agent Skill,skill-acquisition,2505.11175v2,2025-05-16,2025-05-19,cs.RO,Real-Time Verification of Embodied Reasoning for Generative Skill Acquisition,https://arxiv.org/abs/2505.11175v2,https://arxiv.org/pdf/2505.11175v2,Figure 2,4,Figure 2: The VERGSA framework.,skill-acquisition/10_2505.11175_real-time-verification-of-embodied-rea_fig-2.png,d0dd709a340480ac409e4980630bb391b9235ba9782079904ef9c903f53d7d68,style-classification/level-2-icons-and-light-cartoon/skill-acquisition__10_2505.11175_real-time-verification-of-embodied-rea_fig-2.png
2,图标或轻量卡通点缀,基础流程图中加入少量机器人、人物、网络、场景或功能图标。,Agent Skill,skill-acquisition,2406.06615v2,2024-06-07,2025-03-01,cs.CL,Language Guided Skill Discovery,https://arxiv.org/abs/2406.06615v2,https://arxiv.org/pdf/2406.06615v2,Figure 2,4,"Figure 2: Overview of how LGSD works. Given a prompt, the LLM generates the description for each state. We then measure the difference between these descriptions and denote it as d lang . Based on d lang , we constrain the latent space by enforcing the 1-Lipschitz condition on ϕ. Then the agent is encouraged to visit states that make the vector ϕ(s ′ ) − ϕ(s) aligns well with a randomly sampled vector z from an isotropic Gaussian prior. This makes the agent explore the latent space in diverse directions depending on the sampled z.",skill-acquisition/12_2406.06615_language-guided-skill-discovery_fig-2.png,2ad392ba61a4aa745b8ef7425cc038a9cf20192538f865da8090ad186bc25045,style-classification/level-2-icons-and-light-cartoon/skill-acquisition__12_2406.06615_language-guided-skill-discovery_fig-2.png
2,图标或轻量卡通点缀,基础流程图中加入少量机器人、人物、网络、场景或功能图标。,Agent Skill,skill-library-memory,2606.01498v1,2026-05-31,2026-05-31,cs.CL,TimeSage-MT: A Multi-Turn Benchmark for Evaluating Agentic Time Series Reasoning,https://arxiv.org/abs/2606.01498v1,https://arxiv.org/pdf/2606.01498v1,Figure 1,3,Figure 1: Overview of TimeSage-MT. It organizes 240 tasks over 4 levels and targets 9 capabilities for agentic time series reasoning. Filled circles mark active capabilities; dashes mark inactive ones.,skill-library-memory/02_2606.01498_timesage-mt-a-multi-turn-benchmark-for_fig-1.png,6ff5b145beca98a89603faa325faabb60e07cfc695df435f2476ff20cb1ffc7d,style-classification/level-2-icons-and-light-cartoon/skill-library-memory__02_2606.01498_timesage-mt-a-multi-turn-benchmark-for_fig-1.png
2,图标或轻量卡通点缀,基础流程图中加入少量机器人、人物、网络、场景或功能图标。,Agent Skill,skill-library-memory,2601.21545v1,2026-01-29,2026-01-29,cs.AI,ShardMemo: Masked MoE Routing for Sharded Agentic LLM Memory,https://arxiv.org/abs/2601.21545v1,https://arxiv.org/pdf/2601.21545v1,Figure 1,3,Figure 1. ShardMemo architecture overview.,skill-library-memory/03_2601.21545_shardmemo-masked-moe-routing-for-shard_fig-1.png,71881aa9b49b132c3ce4c37cd4203f730510d37b2a3fd838fbb93a94b722f597,style-classification/level-2-icons-and-light-cartoon/skill-library-memory__03_2601.21545_shardmemo-masked-moe-routing-for-shard_fig-1.png
2,图标或轻量卡通点缀,基础流程图中加入少量机器人、人物、网络、场景或功能图标。,Agent Skill,skill-library-memory,2604.04804v2,2026-04-06,2026-04-19,cs.CL,SkillX: Automatically Constructing Skill Knowledge Bases for Agents,https://arxiv.org/abs/2604.04804v2,https://arxiv.org/pdf/2604.04804v2,Figure 2,4,"Figure 2. SkillX provides an automated, iterative pipeline for constructing a skills library, integrating skills extraction. skills expansion and skills refinement. The skills library is organized into three levels: planning skills, functional skills, and atomic skills.",skill-library-memory/04_2604.04804_skillx-automatically-constructing-skil_fig-2.png,7aa3526a3b8052721591a79a721f8a6fd9044a569565e2bc339a2ebfaf6c186a,style-classification/level-2-icons-and-light-cartoon/skill-library-memory__04_2604.04804_skillx-automatically-constructing-skil_fig-2.png
2,图标或轻量卡通点缀,基础流程图中加入少量机器人、人物、网络、场景或功能图标。,Agent Skill,skill-library-memory,2605.19748v1,2026-05-19,2026-05-19,cs.AI,Memory-Augmented Reinforcement Learning Agent for CAD Generation,https://arxiv.org/abs/2605.19748v1,https://arxiv.org/pdf/2605.19748v1,Figure 1,5,Figure 1. System architecture.,skill-library-memory/06_2605.19748_memory-augmented-reinforcement-learnin_fig-1.png,732ef055840c8ffdd3e7a4b98bb8e3a244e3b52ed9db51efd62392170a3fc2a9,style-classification/level-2-icons-and-light-cartoon/skill-library-memory__06_2605.19748_memory-augmented-reinforcement-learnin_fig-1.png
2,图标或轻量卡通点缀,基础流程图中加入少量机器人、人物、网络、场景或功能图标。,Agent Skill,tool-use-generation,2510.20036v2,2025-10-22,2026-05-08,cs.CL,ToolScope: Enhancing LLM Agent Tool Use through Tool Merging and Context-Aware Filtering,https://arxiv.org/abs/2510.20036v2,https://arxiv.org/pdf/2510.20036v2,Figure 2,3,"Figure 2: An overview of ToolScope which consists: (a) ToolScopeMerger, steps including: (1) Candidate Generation, (2) Relationship Classification, (3) Auto-Correction and Merging), (b) ToolScopeRetriever, steps including: (4) Query Decomposition, (5) Retrieval, (6) Reranking and (7) Normalization. Retrieved tools are then presented to LLM Agent for tool selection.",tool-use-generation/01_2510.20036_toolscope-enhancing-llm-agent-tool-use_fig-2.png,f4b6c9e944d3b9b256454a947f23259bac9480bdbe097f846e36332b7baa6a5f,style-classification/level-2-icons-and-light-cartoon/tool-use-generation__01_2510.20036_toolscope-enhancing-llm-agent-tool-use_fig-2.png
2,图标或轻量卡通点缀,基础流程图中加入少量机器人、人物、网络、场景或功能图标。,Agent Skill,tool-use-generation,2510.20036v2,2025-10-22,2026-05-08,cs.CL,ToolScope: Enhancing LLM Agent Tool Use through Tool Merging and Context-Aware Filtering,https://arxiv.org/abs/2510.20036v2,https://arxiv.org/pdf/2510.20036v2,Figure 1,1,Figure 1: A simplified overview of using ToolScope for a tool selection task.,tool-use-generation/02_2510.20036_toolscope-enhancing-llm-agent-tool-use_fig-1.png,6dafcbdd30d006650db72bfa20ae16f83a15c4ed6ab76e21e58f56f769fb8f09,style-classification/level-2-icons-and-light-cartoon/tool-use-generation__02_2510.20036_toolscope-enhancing-llm-agent-tool-use_fig-1.png
2,图标或轻量卡通点缀,基础流程图中加入少量机器人、人物、网络、场景或功能图标。,Agent Skill,tool-use-generation,2604.13787v1,2026-04-15,2026-04-15,cs.CL,ToolOmni: Enabling Open-World Tool Use via Agentic learning with Proactive Retrieval and Grounded Execution,https://arxiv.org/abs/2604.13787v1,https://arxiv.org/pdf/2604.13787v1,Figure 2,4,"Figure 2: Overview of the ToolOmni framework. The pipeline operates in two decoupled phases: Proactive Retrieval: The agent iteratively interacts with the retrieval server to curate a candidate tool set. Grounded Execution: With retrieval results, the agent performs reasoning and tool invocation to generate the final answer.",tool-use-generation/03_2604.13787_toolomni-enabling-open-world-tool-use-_fig-2.png,a2c07f4edece30841656f29726e1cec926635296a6f90472879f7a0be63bbf24,style-classification/level-2-icons-and-light-cartoon/tool-use-generation__03_2604.13787_toolomni-enabling-open-world-tool-use-_fig-2.png
2,图标或轻量卡通点缀,基础流程图中加入少量机器人、人物、网络、场景或功能图标。,Agent Skill,tool-use-generation,2508.16260v2,2025-08-22,2025-10-11,cs.CL,"MCPVerse: An Expansive, Real-World Benchmark for Agentic Tool Use",https://arxiv.org/abs/2508.16260v2,https://arxiv.org/pdf/2508.16260v2,Figure 1,3,"Figure 1: The Overview of MCPVerse. MCPVerse evaluation system. Tasks are curated with meta- data and associated data files of various formats. Tools are collected from MCP hubs into an MCP pool and mounted as a toolset under three modes: Oracle, Standard, and Max-Scale. An LLM agent executes an agentic loop—planning and invoking tools via function calls—and produces an out- come. For time-invariant tasks the outcome is compared with human annotations; for time-sensitive tasks real-time scripts retrieve ground truth; an automated scorer then determines correctness.",tool-use-generation/05_2508.16260_mcpverse-an-expansive-real-world-bench_fig-1.png,dab89076472095f70f2cb9b3fa3848459567ff61f7a40b1cb74d56cf6dac6ffa,style-classification/level-2-icons-and-light-cartoon/tool-use-generation__05_2508.16260_mcpverse-an-expansive-real-world-bench_fig-1.png
2,图标或轻量卡通点缀,基础流程图中加入少量机器人、人物、网络、场景或功能图标。,Agent Skill,tool-use-generation,2604.00835v2,2026-04-01,2026-06-29,cs.CL,Agentic Tool Use in Large Language Models,https://arxiv.org/abs/2604.00835v2,https://arxiv.org/pdf/2604.00835v2,Figure 4,10,Fig. 4. Training Pipeline of Paradigm II: From Supervision to Internalized Tool-Use Capability.,tool-use-generation/07_2604.00835_agentic-tool-use-in-large-language-mod_fig-4.png,5fef520efbcb0d3c862b253ffe6e1b5f58566b45f79becfb920a91b2d1698481,style-classification/level-2-icons-and-light-cartoon/tool-use-generation__07_2604.00835_agentic-tool-use-in-large-language-mod_fig-4.png
2,图标或轻量卡通点缀,基础流程图中加入少量机器人、人物、网络、场景或功能图标。,Agent Skill,tool-use-generation,2412.20145v2,2024-12-28,2025-02-08,cs.CL,Efficient Multi-Agent Collaboration with Tool Use for Online Planning in Complex Table Question Answering,https://arxiv.org/abs/2412.20145v2,https://arxiv.org/pdf/2412.20145v2,Figure 1,1,"Figure 1: Overview of MACT, an iterative collaboration framework for TQA that consists of five stages for each iteration as well as an efficiency optimization module.",tool-use-generation/08_2412.20145_efficient-multi-agent-collaboration-wi_fig-1.png,3d1ac7513765d6b5a37f74bc6bb617d1f668bfee94e57a97fa11cf2f4476626d,style-classification/level-2-icons-and-light-cartoon/tool-use-generation__08_2412.20145_efficient-multi-agent-collaboration-wi_fig-1.png
2,图标或轻量卡通点缀,基础流程图中加入少量机器人、人物、网络、场景或功能图标。,Agent Skill,tool-use-generation,2503.10071v1,2025-03-13,2025-03-13,cs.AI,Advanced Tool Learning and Selection System (ATLASS): A Closed-Loop Framework Using LLM,https://arxiv.org/abs/2503.10071v1,https://arxiv.org/pdf/2503.10071v1,Figure 3,4,Fig. 3: Tool Master Pipeline,tool-use-generation/10_2503.10071_advanced-tool-learning-and-selection-s_fig-3.png,85505d5094842ef25597100b05a10b5d732e3bfae3ed0aa0176cbb58746de6e5,style-classification/level-2-icons-and-light-cartoon/tool-use-generation__10_2503.10071_advanced-tool-learning-and-selection-s_fig-3.png
